Date,Open,High,Low,Close,Adj Close,Volume
2001-12-25,47745.3515625,47745.3515625,47745.3515625,47745.3515625,30050.37890625,0
2001-12-26,47745.3515625,47745.3515625,47745.3515625,47745.3515625,30050.37890625,0
2001-12-27,47745.3515625,47745.3515625,47745.3515625,47745.3515625,30050.37890625,0
2001-12-28,47745.3515625,47745.3515625,47745.3515625,47745.3515625,30050.37890625,0
2001-12-31,48723.7421875,48723.7421875,48723.7421875,48723.7421875,30666.177734375,0
2002-01-01,48723.7421875,48723.7421875,48723.7421875,48723.7421875,30666.177734375,0
2002-01-02,48723.7421875,48723.7421875,48723.7421875,48723.7421875,30666.177734375,0
2002-01-03,50387.0,50387.0,50387.0,50387.0,31713.0078125,0
2002-01-04,50387.0,50387.0,50387.0,50387.0,31713.0078125,0
2002-01-07,50387.0,50387.0,50387.0,50387.0,31713.0078125,0
2002-01-08,50387.0,50387.0,50387.0,50387.0,31713.0078125,0
2002-01-09,50387.0,50387.0,50387.0,50387.0,31713.0078125,0
2002-01-10,50387.0,50387.0,50387.0,50387.0,31713.0078125,0
2002-01-11,50387.0,50387.0,50387.0,50387.0,31713.0078125,0
2002-01-14,50387.0,50387.0,50387.0,50387.0,31713.0078125,0
2002-01-15,50387.0,50387.0,50387.0,50387.0,31713.0078125,0
2002-01-16,50387.0,50387.0,50387.0,50387.0,31713.0078125,0
2002-01-17,50387.0,50387.0,50387.0,50387.0,31713.0078125,0
2002-01-18,50387.0,50387.0,50387.0,50387.0,31713.0078125,0
2002-01-21,50387.0,50387.0,50387.0,50387.0,31713.0078125,0
2002-01-22,50387.0,50387.0,50387.0,50387.0,31713.0078125,0
2002-01-23,50387.0,50387.0,50387.0,50387.0,31713.0078125,0
2002-01-24,50387.0,50387.0,50387.0,50387.0,31713.0078125,0
2002-01-25,50387.0,50387.0,50387.0,50387.0,31713.0078125,0
2002-01-28,50387.0,50387.0,50387.0,50387.0,31713.0078125,0
2002-01-29,50387.0,50387.0,50387.0,50387.0,31713.0078125,0
2002-01-30,50387.0,50387.0,50387.0,50387.0,31713.0078125,0
2002-01-31,57040.04296875,57040.04296875,57040.04296875,57040.04296875,35900.359375,0
2002-02-01,57040.04296875,57040.04296875,57040.04296875,57040.04296875,35900.359375,0
2002-02-04,57040.04296875,57040.04296875,57040.04296875,57040.04296875,35900.359375,0
2002-02-05,57040.04296875,57040.04296875,57040.04296875,57040.04296875,35900.359375,0
